entity,added,deleted,commits
packages/react-server-dom-unbundled/src/ReactFlightUnbundledReferences.js,364,5,3
packages/react-devtools-shared/src/utils.js,362,56,23
packages/react-reconciler/src/__tests__/ReactOwnerStacks-test.js,361,3,4
packages/react-reconciler/src/ReactFiberCompleteWork.js,360,128,23
packages/react-devtools-extensions/src/main/index.js,356,81,21
packages/eslint-plugin-react-hooks/__tests__/ESLintRuleExhaustiveDeps-test.js,353,30,9
compiler/apps/playground/components/Editor/EditorImpl.tsx,352,581,20
packages/react-reconciler/src/ReactFiberCommitHostEffects.js,351,92,11
fixtures/flight-ssr-bench/bench-server.js,350,0,1
compiler/scripts/enable-feature-flag.js,347,0,1
compiler/packages/react-forgive/server/src/index.ts,342,205,11
packages/react-dom/src/__tests__/ReactDOMFizzViewTransition-test.js,338,3,3
packages/react-devtools-shared/src/backend/views/Highlighter/index.js,336,39,9
packages/eslint-plugin-react-hooks/__tests__/ReactCompilerRule-test.ts,333,333,6
packages/react-reconciler/src/__tests__/ReactHooks-test.internal.js,332,260,4
compiler/packages/babel-plugin-react-compiler/docs/passes/41-validateHooksUsage.md,330,0,1
fixtures/flight-ssr-bench/render-helpers.js,329,0,1
packages/react-devtools-shared/src/devtools/views/SuspenseTab/ActivityList.js,328,65,3
packages/react-refresh/src/__tests__/ReactFresh-test.js,328,236,3
compiler/packages/babel-plugin-react-compiler/src/ReactiveScopes/MemoizeFbtAndMacroOperandsInSameScope.ts,327,300,2
packages/react-reconciler/src/ReactChildFiber.js,326,126,9
packages/react-devtools-shared/src/__tests__/profilingCache-test.js,326,35,6
fixtures/flight/yarn.lock,324,114,5
compiler/packages/babel-plugin-react-compiler/docs/passes/README.md,324,6,4
compiler/packages/babel-plugin-react-compiler/src/HIR/CollectHoistablePropertyLoads.ts,322,127,11
compiler/packages/babel-plugin-react-compiler/docs/passes/43-validateLocalsNotReassignedAfterRender.md,321,0,1
compiler/apps/playground/lib/compilation.ts,319,11,3
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/name-anonymous-functions.expect.md,317,28,2
packages/react-reconciler/src/__tests__/ReactTransition-test.js,316,3,2
compiler/packages/babel-plugin-react-compiler/src/Flood/TypeUtils.ts,312,0,1
compiler/packages/babel-plugin-react-compiler/src/Entrypoint/Imports.ts,310,187,13
packages/react-dom-bindings/src/client/ReactDOMComponent.js,310,59,11
scripts/rollup/bundles.js,307,199,20
