entity,coupled,degree,average-revs
packages/react-server-dom-esm/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-parcel/src/client/ReactFlightDOMClientEdge.js,84,10
packages/react-server-dom-esm/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-esm/src/client/ReactFlightDOMClientNode.js,84,10
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientEdge.js,84,10
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientEdge.js,84,10
packages/react-server-dom-esm/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js,84,10
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientEdge.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js,84,10
packages/react-server-dom-esm/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientBrowser.js,84,10
packages/shared/ReactFeatureFlags.js,packages/shared/forks/ReactFeatureFlags.test-renderer.www.js,83,59
packages/react/src/ReactSharedInternalsClient.js,packages/react/src/ReactStartTransition.js,83,6
packages/react-devtools-extensions/firefox/manifest.json,packages/react-devtools/CHANGELOG.md,82,9
packages/react-devtools-core/package.json,packages/react-devtools-extensions/firefox/manifest.json,82,9
packages/react-devtools-extensions/firefox/manifest.json,packages/react-devtools-timeline/package.json,82,9
packages/react-art/src/ReactFiberConfigART.js,packages/react-test-renderer/src/ReactFiberConfigTestHost.js,81,19
packages/react/index.experimental.js,packages/react/src/ReactClient.js,81,11
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-parcel/src/client/ReactFlightDOMClientNode.js,81,11
packages/shared/ReactFeatureFlags.js,packages/shared/forks/ReactFeatureFlags.native-fb.js,80,60
packages/react-dom-bindings/src/server/ReactFizzConfigDOMLegacy.js,packages/react-markup/src/ReactFizzConfigMarkup.js,80,13
